code_pays,pays,annee,age_valeur,genre,sector,sector_group,population,tranche_age
CIV,Côte d'Ivoire,2026,17,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,19554,15-24
CIV,Côte d'Ivoire,2026,18,female,Accommodation and food service activities,Services,5313,15-24
CIV,Côte d'Ivoire,2026,18,female,Activities of extraterritorial organizations and bodies,Services,75,15-24
CIV,Côte d'Ivoire,2026,18,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,8044,15-24
CIV,Côte d'Ivoire,2026,18,female,Administrative and support service activities,Services,160,15-24
CIV,Côte d'Ivoire,2026,18,female,Agriculture; forestry and fishing,Agriculture,46219,15-24
CIV,Côte d'Ivoire,2026,18,female,"Arts, entertainment and recreation",Services,146,15-24
CIV,Côte d'Ivoire,2026,18,female,Construction,Industry,302,15-24
CIV,Côte d'Ivoire,2026,18,female,Education,Services,218,15-24
CIV,Côte d'Ivoire,2026,18,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,18,female,Financial and insurance activities,Services,275,15-24
CIV,Côte d'Ivoire,2026,18,female,Human health and social work activities,Services,837,15-24
CIV,Côte d'Ivoire,2026,18,female,Information and communication,Services,172,15-24
CIV,Côte d'Ivoire,2026,18,female,Manufacturing,Industry,14660,15-24
CIV,Côte d'Ivoire,2026,18,female,Mining and quarrying,Industry,98,15-24
CIV,Côte d'Ivoire,2026,18,female,Other service activities,Services,6882,15-24
CIV,Côte d'Ivoire,2026,18,female,"Professional, scientific and technical activities",Services,51,15-24
CIV,Côte d'Ivoire,2026,18,female,Public administration and defence; compulsory social security,Services,230,15-24
CIV,Côte d'Ivoire,2026,18,female,Real estate activities,Services,142,15-24
CIV,Côte d'Ivoire,2026,18,female,Transportation and storage,Services,169,15-24
CIV,Côte d'Ivoire,2026,18,female,"Water supply; sewerage, waste management and remediation activities",Industry,43,15-24
CIV,Côte d'Ivoire,2026,18,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,19064,15-24
CIV,Côte d'Ivoire,2026,19,female,Accommodation and food service activities,Services,5175,15-24
CIV,Côte d'Ivoire,2026,19,female,Activities of extraterritorial organizations and bodies,Services,72,15-24
CIV,Côte d'Ivoire,2026,19,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,7834,15-24
CIV,Côte d'Ivoire,2026,19,female,Administrative and support service activities,Services,155,15-24
CIV,Côte d'Ivoire,2026,19,female,Agriculture; forestry and fishing,Agriculture,45017,15-24
CIV,Côte d'Ivoire,2026,19,female,"Arts, entertainment and recreation",Services,142,15-24
CIV,Côte d'Ivoire,2026,19,female,Construction,Industry,294,15-24
CIV,Côte d'Ivoire,2026,19,female,Education,Services,213,15-24
CIV,Côte d'Ivoire,2026,19,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,19,female,Financial and insurance activities,Services,268,15-24
CIV,Côte d'Ivoire,2026,19,female,Human health and social work activities,Services,816,15-24
CIV,Côte d'Ivoire,2026,19,female,Information and communication,Services,167,15-24
CIV,Côte d'Ivoire,2026,19,female,Manufacturing,Industry,14280,15-24
CIV,Côte d'Ivoire,2026,19,female,Mining and quarrying,Industry,95,15-24
CIV,Côte d'Ivoire,2026,19,female,Other service activities,Services,6704,15-24
CIV,Côte d'Ivoire,2026,19,female,"Professional, scientific and technical activities",Services,50,15-24
CIV,Côte d'Ivoire,2026,19,female,Public administration and defence; compulsory social security,Services,225,15-24
CIV,Côte d'Ivoire,2026,19,female,Real estate activities,Services,139,15-24
CIV,Côte d'Ivoire,2026,19,female,Transportation and storage,Services,164,15-24
CIV,Côte d'Ivoire,2026,19,female,"Water supply; sewerage, waste management and remediation activities",Industry,42,15-24
CIV,Côte d'Ivoire,2026,19,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,18568,15-24
CIV,Côte d'Ivoire,2026,20,female,Human health and social work activities,Services,795,15-24
CIV,Côte d'Ivoire,2026,20,female,Manufacturing,Industry,13892,15-24
CIV,Côte d'Ivoire,2026,20,female,Mining and quarrying,Industry,93,15-24
CIV,Côte d'Ivoire,2026,20,female,Accommodation and food service activities,Services,5035,15-24
CIV,Côte d'Ivoire,2026,20,female,Activities of extraterritorial organizations and bodies,Services,71,15-24
CIV,Côte d'Ivoire,2026,20,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,7620,15-24
CIV,Côte d'Ivoire,2026,20,female,Administrative and support service activities,Services,151,15-24
CIV,Côte d'Ivoire,2026,20,female,Agriculture; forestry and fishing,Agriculture,43796,15-24
CIV,Côte d'Ivoire,2026,20,female,"Arts, entertainment and recreation",Services,138,15-24
CIV,Côte d'Ivoire,2026,20,female,Construction,Industry,286,15-24
CIV,Côte d'Ivoire,2026,20,female,Education,Services,206,15-24
CIV,Côte d'Ivoire,2026,20,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,20,female,Financial and insurance activities,Services,261,15-24
CIV,Côte d'Ivoire,2026,20,female,Information and communication,Services,160,15-24
CIV,Côte d'Ivoire,2026,20,female,Other service activities,Services,6521,15-24
CIV,Côte d'Ivoire,2026,20,female,"Professional, scientific and technical activities",Services,49,15-24
CIV,Côte d'Ivoire,2026,20,female,Public administration and defence; compulsory social security,Services,219,15-24
CIV,Côte d'Ivoire,2026,20,female,Real estate activities,Services,135,15-24
CIV,Côte d'Ivoire,2026,20,female,Transportation and storage,Services,161,15-24
CIV,Côte d'Ivoire,2026,20,female,"Water supply; sewerage, waste management and remediation activities",Industry,41,15-24
CIV,Côte d'Ivoire,2026,20,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,18065,15-24
CIV,Côte d'Ivoire,2026,21,female,Accommodation and food service activities,Services,4893,15-24
CIV,Côte d'Ivoire,2026,21,female,Activities of extraterritorial organizations and bodies,Services,70,15-24
CIV,Côte d'Ivoire,2026,21,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,7407,15-24
CIV,Côte d'Ivoire,2026,21,female,Administrative and support service activities,Services,148,15-24
CIV,Côte d'Ivoire,2026,21,female,Agriculture; forestry and fishing,Agriculture,42564,15-24
CIV,Côte d'Ivoire,2026,21,female,"Arts, entertainment and recreation",Services,134,15-24
CIV,Côte d'Ivoire,2026,21,female,Construction,Industry,279,15-24
CIV,Côte d'Ivoire,2026,21,female,Education,Services,201,15-24
CIV,Côte d'Ivoire,2026,21,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
